planetlab1.csee.usf.edu 131.247.2.241
planetlab2.pop-mg.rnp.br 200.19.159.35
planet1.cs.huji.ac.il 132.65.240.100
planetlab1.eecs.ucf.edu 132.170.3.32
planet1.elte.hu 157.181.175.249
planetlab1.fct.ualg.pt 193.136.227.163
plab-2.diegm.uniud.it 158.110.27.127
planetlab2-saopaulo.lan.redclara.net 200.0.206.137
planetlab2.utdallas.edu 129.110.125.52
pl2.rcc.uottawa.ca 216.48.80.14
planetlab1.citadel.edu 155.225.2.71
planetlab3.cse.nd.edu 129.74.74.20
vn5.cse.wustl.edu 128.252.19.18
planetlab02.ethz.ch 192.33.90.196
planetlab4.wail.wisc.edu 198.133.224.149
planetlab-n1.wand.net.nz 130.217.77.2
planetlab1.byu.edu 128.187.223.211
plab1.larc.usp.br 143.107.111.234
planetlab3.mini.pw.edu.pl 194.29.178.13
ricepl-4.cs.rice.edu 128.42.142.44
planetlab1.cs.aueb.gr 195.251.248.180
planetlab5.flux.utah.edu 155.98.35.6
pl2.cs.yale.edu 128.36.233.154
planetlab-1.cmcl.cs.cmu.edu 128.2.211.113
planetlab-2.sjtu.edu.cn 202.112.28.100
planet-lab-node2.netgroup.uniroma2.it 160.80.221.39
planetlab1.science.unitn.it 193.205.215.74
planetlab2.tau.ac.il 192.114.4.3
plab3.eece.ksu.edu 129.130.252.140
planetlab02.dis.unina.it 143.225.229.238
planetlab-1.iscte.pt 193.136.191.25
planetlab2.ci.pwr.wroc.pl 156.17.10.52
planetlab-1.cse.ohio-state.edu 164.107.127.12
planetvs2.informatik.uni-stuttgart.de 129.69.210.97
peeramidion.irisa.fr 131.254.208.11
planetlab2.pjwstk.edu.pl 148.81.140.194
planetlab-1.pdl.nudt.edu.cn 202.197.15.1
planet2.ku.edu.tr 88.255.99.251
planet-lab1.cs.ucr.edu 169.235.24.133
jupiter.planetlab.carleton.ca 134.117.226.181
planetlab2.c3sl.ufpr.br 200.17.202.195
planetlab1.umassd.edu 134.88.5.251
planetlab-2.cs.colostate.edu 129.82.12.188
planet-lab2.itba.edu.ar 190.227.163.141
miranda.planetlab.cs.umd.edu 128.8.126.98
planetlab2.utt.fr 194.254.215.12
planetlab2.tsuniv.edu 206.23.240.29
planetlab3.hiit.fi 193.167.187.185
planet-lab1.uba.ar 157.92.44.101
pl1.cs.montana.edu 153.90.1.34
pl1.eng.monash.edu.au 130.194.252.8
planet-lab-node1.netgroup.uniroma2.it 160.80.221.37
planet-lab1.itba.edu.ar 190.227.163.142
planet-lab4.uba.ar 157.92.44.104
planetlab-1.scie.uestc.edu.cn 222.197.180.137
planetlab-1.sjtu.edu.cn 202.112.28.98
planetlab-coffee.ait.ie 193.1.13.12
planetlab-js1.cert.org.cn 218.94.106.112
planetlab-n2.wand.net.nz 130.217.77.4
planetlab1.aut.ac.nz 156.62.231.242
planetlab1.cs.du.edu 130.253.21.121
planetlab1.cs.okstate.edu 139.78.141.243
planetlab1.cs.purdue.edu 128.10.18.52
planetlab1.cs.ucla.edu 131.179.150.70
planetlab1.ie.cuhk.edu.hk 137.189.98.208
planetlab1.rutgers.edu 165.230.49.114
planetlab1.temple.edu 129.32.84.160
planetlab1.unr.edu 134.197.113.3
planetlab1.utt.fr 194.254.215.11
planetlab2-buenosaires.lan.redclara.net 200.0.206.169
planetlab2.citadel.edu 155.225.2.72
planetlab2.cs.uml.edu 129.63.159.102
planetlab2.cs.unc.edu 204.85.191.11
planetlab2.ecs.vuw.ac.nz 130.195.4.69
planetlab3.cs.uoregon.edu 128.223.8.113
planetlab3.inf.ethz.ch 192.33.90.68
planetlab3.wail.wisc.edu 198.133.224.147
planetlab4.mini.pw.edu.pl 194.29.178.14
planetlab5.csee.usf.edu 131.247.2.246
planetlab5.eecs.umich.edu 141.212.113.180
planetlabone.ccs.neu.edu 129.10.120.193
plink.cs.uwaterloo.ca 129.97.74.12
pluto.cs.brown.edu 192.91.235.230
salt.planetlab.cs.umd.edu 128.8.126.111
saturn.planetlab.carleton.ca 134.117.226.180
merkur.planetlab.haw-hamburg.de 141.22.213.34
cs-planetlab4.cs.surrey.sfu.ca 206.12.16.155
gschembra3.diit.unict.it 151.97.9.224
host2.planetlab.informatik.tu-darmstadt.de 130.83.166.245
host3-plb.loria.fr 152.81.47.4
iraplab2.iralab.uni-karlsruhe.de 193.196.39.10
kupl1.ittc.ku.edu 129.237.161.193
mercury.silicon-valley.ru 82.179.176.42
mtuplanetlab1.cs.mtu.edu 141.219.252.132
node2.planetlab.mathcs.emory.edu 170.140.119.70
node2pl.planet-lab.telecom-lille1.eu 194.167.254.19
osiris.planetlab.cs.umd.edu 128.8.126.78
pl-node-0.csl.sri.com 192.12.33.100
pl1.rcc.uottawa.ca 216.48.80.12
pl1snu.koren.kr 116.89.165.133
pl2.csl.utoronto.ca 142.150.238.13
pl2.pku.edu.cn 162.105.205.22
pl2.ucs.indiana.edu 156.56.250.227
planet-lab2.cs.ucr.edu 169.235.24.232
planet1.jaist.ac.jp 150.65.32.68
planet2.elte.hu 157.181.175.248
planet4.cc.gt.atl.ga.us 143.215.131.199
planetlab-01.ece.uprm.edu 136.145.115.194
planetlab-01.kusa.ac.jp 202.244.160.251
planetlab-1.cs.unibas.ch 192.43.193.71
planetlab-4.imperial.ac.uk 193.63.75.21
planetlab01.cs.washington.edu 128.208.4.197
planetlab01.sys.virginia.edu 128.143.6.134
planetlab02.just.edu.jo 87.236.232.174
planetlab1-santiago.lan.redclara.net 200.0.206.202
planetlab1.cis.upenn.edu 158.130.6.254
planetlab1.cs.columbia.edu 128.59.20.226
planetlab1.cs.uiuc.edu 72.36.112.71
planetlab1.diku.dk 192.38.109.143
planetlab1.dojima.wide.ad.jp 203.178.133.11
